Actual,Predicted_RF,Predicted_LR
14668.0,61617.69268839606,51707.354530791796
49655.0,88959.84050700194,81836.32265792075
31025.0,36141.92976141684,39617.22372359549
83742.0,73653.42266899621,54825.19324024209
2462.0,43422.45710168566,41184.0410450768
148854.0,61025.084959521984,72273.45266934884
69608.0,81187.05714260413,80107.53927675546
100987.0,74250.82331349206,79537.71614940047
25089.0,19973.471720687652,34916.77175915152
117931.0,107615.71554514713,92867.31993963667
140000.0,165596.0376303384,153405.44866767692
94286.0,180071.41597659478,186308.6124187847
208000.0,176170.10872631325,161993.6618493379
35255.0,48885.462012546704,42750.85836655813
52748.0,142867.2425,61862.385033934086
74963.0,85906.95499998592,83693.28989897217
64254.0,65856.29022519593,73840.26999083016
44978.0,61415.209746336994,69650.6556653453
26803.0,50929.78835980685,92952.28868530712
17393.0,31035.104634754145,41511.219910028165
54368.0,61278.54993835621,67407.1978042271
81931.0,98042.66487740666,83403.13997940207
88456.0,59243.27182539682,77094.93204934552
55213.0,42273.84317640693,70654.8041322662
70344.0,52273.38235260586,47451.3103310021
200000.0,162578.2850535575,150271.81402471426
64254.0,71828.18792563716,71294.7368833263
4069.0,36141.92976141684,39617.22372359549
2828.0,18808.774322306494,26269.994404517944
107090.0,76449.65297278263,76910.62860244614
48000.0,33701.93689454328,30970.446368961908
63165.0,79578.66158585859,64226.09716913002
74963.0,49415.08466666666,69726.79468811161
54616.0,41159.536754630615,54149.92575695529
113000.0,140688.39107279072,133790.95006267406
161380.0,110832.91210366724,95937.67855125265
5679.0,19973.471720687652,34916.77175915152
6862.0,16938.773501105123,33349.9544376702
100000.0,171500.85114325074,173774.07384693413
210000.0,155086.4818007537,142501.00344865432
58899.0,54230.69083702186,43768.88777441718
250000.0,152221.13436855123,139304.09277434502
83173.0,75828.9222172951,71622.72798180586
109264.0,91580.77434557842,78889.909789093
47548.0,55036.736606838145,61996.58196188728
49655.0,100469.86682574375,123837.57596529945
74963.0,52315.550696283644,66458.29936267763
29749.0,18808.774322306494,26269.994404517944
39155.0,33006.695312747834,44380.95171938612
72821.0,61025.084959521984,72273.45266934884
165000.0,179226.58410381922,169073.62188249012
20309.0,28317.60587214053,29403.629047480586
2967.0,52273.38235260586,47451.3103310021
53545.0,53795.620773679955,44317.67568803946
103757.0,52273.38235260586,47451.3103310021
53545.0,73519.60466813555,78540.72195527413
89955.0,85766.7531663111,82189.74860883752
15421.0,28317.60587214053,29403.629047480586
3538.0,38752.1729331859,41058.1336552751
75688.0,89802.34279270735,66076.71623514593
120000.0,173138.5181409651,148704.99670323293
23504.0,29992.76872645959,38050.40640211416
52046.0,55032.97176577709,82939.31699583912
62069.0,84045.16996726762,84969.9573008834
85672.0,63422.06244444445,84944.25461525764
42836.0,49654.04021822353,64078.79129396935
40694.0,38964.85090356865,55373.82058895766
49797.0,77744.19670973184,69450.02886308728
48982.0,19973.471720687652,34916.77175915152
93104.0,85041.91154475341,108472.21712310323
162000.0,138448.25557465001,140934.186127173
80690.0,89122.87925203163,77889.99726773115
40944.0,58126.38730555556,49236.874472611096
